"ENTIDAD","MUNICIPIO","CODIGO","ID_ESTRATO","UE","A111A","A131A","A800A","ID","CLAVE","CLAVE_UNICO","LNA111A"
16,NA,"31-33",NA,37608,144845.463,38448.899,142078.797,296,300,"16300296",11.8834226806496
16,NA,"31-33",1,36655,12913.915,5433.701,12927.468,297,300,"16300297",9.46606069116072
16,NA,"31-33",2,776,6804.066,2513.191,6903.137,298,300,"16300298",8.82527565364507
16,NA,"31-33",3,138,22705.843,5723.547,23517.345,299,300,"16300299",10.0303775712286
16,NA,"31-33",4,39,102421.639,24778.46,98730.847,300,300,"16300300",11.5368532876223
16,NA,"311",NA,11089,40625.673,10893.129,41085.166,301,311,"16311301",10.6121554856487
16,NA,"311",1,10810,5443.71,2295.211,5453.327,302,311,"16311302",8.60221609269781
16,NA,"311",2,204,2212.02,721.051,2259.278,303,311,"16311303",7.70166140419267
16,NA,"311",3,57,8428.085,2140.54,8876.762,304,311,"16311304",9.03932486030274
16,NA,"311",4,18,24541.858,5736.327,24495.799,305,311,"16311305",10.1081354285202
16,NA,"312",NA,607,12117.904,6053.729,12126.5,462,312,"16312462",9.4024393073742
16,NA,"312",99,607,12117.904,6053.729,12126.5,463,312,"16312463",9.4024393073742
16,NA,"313",NA,276,645.785,56.725,656.293,492,313,"16313492",6.47046663104916
16,NA,"313",99,276,645.785,56.725,656.293,493,313,"16313493",6.47046663104916
16,NA,"314",NA,2695,2300.905,546.726,2351.636,528,314,"16314528",7.74105780278584
16,NA,"314",1,2668,166.837,82.32,167.512,529,314,"16314529",5.11701728786763
16,NA,"314",2,16,84.924,31.658,86.05,530,314,"16314530",4.44175673888165
16,NA,"314",3,7,809.746,134.859,862.423,531,314,"16314531",6.696720618243
16,NA,"314",4,4,1239.398,297.889,1235.651,532,314,"16314532",7.12238105684266
16,NA,"315",NA,1786,810.559,336.954,843.581,565,315,"16315565",6.69772413309759
16,NA,"315",99,1786,810.559,336.954,843.581,566,315,"16315566",6.69772413309759
16,NA,"316",NA,1075,916.785,317.964,916.164,604,316,"16316604",6.82087298457008
